row_number,region_code,region_name,district_id,district_name,geohash,event_city,travel_city
7192448,77,Аэропорт Москвы,,Airport,8811aa6e95fffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192449,77,Аэропорт Москвы,,Airport,8811aa6eb9fffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192450,77,Аэропорт Москвы,,Airport,88118c9b6dfffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192451,77,Аэропорт Москвы,,Airport,8811aa6cd7fffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192452,77,Аэропорт Москвы,,Airport,8811aa6cd9fffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192453,77,Аэропорт Москвы,,Airport,8811aa6e9dfffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192454,77,Аэропорт Москвы,,Airport,8811aa6cdbfffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192455,77,Аэропорт Москвы,,Airport,8811aa6cd3fffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192456,77,Аэропорт Москвы,,Airport,88118c9b67fffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192457,77,Аэропорт Москвы,,Airport,8811aa6cd1fffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192458,77,Аэропорт Москвы,,Airport,8811aa6e97fffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192459,77,Аэропорт Москвы,,Airport,88118c9b6bfffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192460,77,Аэропорт Москвы,,Airport,88118c9b65fffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192461,77,Аэропорт Москвы,,Airport,8811aa6ebbfffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192462,77,Аэропорт Москвы,,Airport,88118c9b69fffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192463,77,Аэропорт Москвы,,Airport,8811aa6e91fffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192464,77,Аэропорт Москвы,,Airport,8811aa6eb3fffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192465,77,Аэропорт Москвы,,Airport,8811aa6eb7fffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192466,77,Аэропорт Москвы,,Airport,88118c9b61fffff,CHKALOVSKY,ЧКАЛОВСКИЙ
