,Город,geohash
0,Москва,8811aa7abdfffff
1,Санкт-Петербург,8811060609fffff
2,Новосибирск,880bb03731fffff
3,Екатеринбург,8810c22997fffff
4,Казань,8810a8101dfffff
5,Нижний Новгород,8810167259fffff
6,Челябинск,8810de1943fffff
7,Самара,88108142cdfffff
8,Омск,88214199c3fffff
9,Ростов-на-Дону,882d440ea7fffff
10,Уфа,8810d690cbfffff
11,Красноярск,880b9a76a5fffff
12,Воронеж,88119eca4bfffff
13,Пермь,8810f1ad2bfffff
14,Волгоград,882d48b9d5fffff
15,Краснодар,882d734249fffff
16,Тюмень,8810d9b4abfffff
17,Тольятти,881081d70dfffff
18,Ижевск,8810f0d06bfffff
19,Барнаул,880bb2d1a1fffff
20,Ульяновск,881085a247fffff
21,Иркутск,8825716535fffff
22,Хабаровск,8814d64ad3fffff
23,Ярославль,88103670b5fffff
24,Владивосток,88316c0945fffff
25,Махачкала,882c72902bfffff
26,Томск,880b86ae81fffff
27,Оренбург,8821269729fffff
28,Кемерово,880b958eb3fffff
29,Новокузнецк,880b96a707fffff
30,Рязань,88118e4633fffff
31,Астрахань,882c604047fffff
32,Набережные Челны,8810f65a87fffff
33,Пенза,8810a2c435fffff
34,Липецк,88119eb6cdfffff
35,Киров,8810181ae5fffff
36,Чебоксары,8810ac8da9fffff
37,Тула,881183931dfffff
38,Калининград,881f7352d5fffff
39,Балашиха,8811aa6f1bfffff
40,Курск,8811942421fffff
41,Севастополь,882d289419fffff
42,Сочи,882d568e59fffff
43,Ставрополь,882d5115c3fffff
44,Улан-Удэ,882541cc63fffff
45,Тверь,8811a8c661fffff
46,Магнитогорск,882121b4bbfffff
47,Иваново,88118d2c13fffff
48,Брянск,8811b108d7fffff
49,Белгород,8811962345fffff
50,Сургут,880b06380bfffff
51,Владимир,881188b14dfffff
52,Архангельск,881150a889fffff
53,Чита,8815a0c8b5fffff
54,Калуга,8811854909fffff
55,Симферополь,882d2d6a3bfffff
56,Смоленск,8811a0db25fffff
57,Волжский,882d48af33fffff
58,Курган,8810db00e3fffff
59,Орёл,8811864433fffff
60,Череповец,88103496d1fffff
61,Владикавказ,882c29d807fffff
62,Мурманск,881165aa8dfffff
63,Саранск,8810a0704bfffff
64,Тамбов,88119860dbfffff
65,Грозный,882c2976ddfffff
66,Стерлитамак,88108b2803fffff
67,Петрозаводск,88110e0643fffff
68,Кострома,8810328c25fffff
69,Нижневартовск,880b11bb25fffff
70,Новороссийск,882d728895fffff
71,Йошкар-Ола,8810add333fffff
72,Химки,8811aa0d25fffff
73,Таганрог,882d44993bfffff
74,Комсомольск-на-Амуре,8814d5aadbfffff
75,Сыктывкар,881008043dfffff
76,Нальчик,882c2dc585fffff
77,Шахты,882d4552e9fffff
78,Нижнекамск,8810ab2221fffff
79,Братск,880a91cd21fffff
80,Дзержинск,881016ccc1fffff
81,Орск,8821235147fffff
82,Ангарск,88257109b1fffff
83,Благовещенск,8814aed591fffff
84,Псков,8811321a29fffff
85,Бийск,88206d4a1bfffff
86,Прокопьевск,880b947869fffff
87,Энгельс,8810b3859bfffff
88,Рыбинск,8810368719fffff
89,Балаково,881086051dfffff
90,Северодвинск,88115084c1fffff
91,Армавир,882d55654bfffff
92,Подольск,881181b005fffff
93,Королёв,8811aa673dfffff
94,Южно-Сахалинск,882e881769fffff
95,Петропавловск-Камчатский,8816163891fffff
96,Сызрань,881080863bfffff
97,Норильск,880a743125fffff
98,Златоуст,8810d14b15fffff
99,Кемерово,880b958eb3fffff
100,Мытищи,8811aa62d1fffff
101,Люберцы,8811aa6835fffff
102,Волгодонск,882d4145cdfffff
103,Новочеркасск,882d442e45fffff
104,Абакан,8825263b69fffff
105,Находка,88316dc0d9fffff
106,Уссурийск,882ec9a509fffff
107,Березники,8810e3ce93fffff
108,Салават,88108b6e57fffff
109,Электросталь,88118cc621fffff
110,Миасс,8810d3a34dfffff
111,Рубцовск,88206398c3fffff
112,Альметьевск,88108dc323fffff
113,Коломна,88118e9035fffff
114,Майкоп,882d5422b1fffff
115,Пятигорск,882d532e69fffff
116,Одинцово,8811aa470dfffff
117,Копейск,8810de0b63fffff
118,Хасавюрт,882c76b96dfffff
119,Назрань,882c29d507fffff
120,Кисловодск,882d533b6bfffff
121,Домодедово,881181a04bfffff
122,Нефтекамск,8810f28c0bfffff
123,Новомосковск,8811831001fffff
124,Керчь,882d76b54bfffff
125,Новый Уренгой,880b092227fffff
126,Первоуральск,8810c20ec9fffff
127,Черкесск,882d53860dfffff
128,Батайск,882d440de9fffff
129,Щёлково,8811aa65ebfffff
130,Серпухов,881181c44bfffff
131,Новочебоксарск,8810ac15ebfffff
132,Нефтеюганск,880b068cb5fffff
133,Димитровград,8810aa4355fffff
134,Орехово-Зуево,88118c0a1bfffff
135,Дербент,882c09b357fffff
136,Камышин,8810b246b3fffff
137,Невинномысск,882d515421fffff
138,Красногорск,8811aa09e3fffff
139,Муром,88118b8935fffff
140,Башкортостан,8810d690cbfffff
141,Северск,880b86a4abfffff
142,Пушкино,8811aa2927fffff
143,Жуковский,88118cd129fffff
144,Артём,88316c120bfffff
145,Ногинск,88118c8921fffff
146,Елец,88119cd957fffff
147,Сергиев Посад,8811ab590bfffff
148,Новокуйбышевск,8810815135fffff
149,Воткинск,8810f0101bfffff
150,Ленинск-Кузнецкий,880b95d939fffff
151,Междуреченск,880b962e2bfffff
152,Железнодорожный,8811aa6d05fffff
153,Сарапул,8810f05a29fffff
154,Зеленодольск,8810a89869fffff
155,Ачинск,880b98d91dfffff
156,Минеральные Воды,882d5324c7fffff
157,Бердск,880bb0386dfffff
158,Чайковский,8810f056b1fffff
159,Кузнецк,881084884dfffff
160,Гатчина,881106cc83fffff
161,Кызыл,8825009083fffff
162,Сосновый Бор,881131285dfffff
163,Бугульма,88108d59e9fffff
164,Глазов,88101b6e69fffff
165,Ишим,88216068b3fffff
166,Вольск,88108612abfffff
167,Ухта,8810734993fffff
168,Лобня,8811aa0c81fffff
169,Кстово,8810167853fffff
170,Чапаевск,8810802523fffff
171,Ессентуки,882d532351fffff
172,Долгопрудный,8811aa729bfffff
173,Новошахтинск,882d45d893fffff
174,Дубна,8811a86ab9fffff
175,Канск,880ab0898dfffff
176,Губкинский,880b08476dfffff
177,Великий Новгород,88111542ebfffff
178,Каспийск,882c729899fffff
179,Раменское,88118cdaa5fffff
180,Домодедово,881181a04bfffff
181,Магадан,8817142ca7fffff
182,Соликамск,8810e388a5fffff
183,Мичуринск,8811981267fffff
184,Киселёвск,880b947115fffff
185,Новотроицк,8821222443fffff
186,Златоуст,8810d14b15fffff
187,Зеленогорск,880ab40de1fffff
188,Бузулук,88108e4cb5fffff
189,Асбест,8810c34d25fffff
190,Елабуга,8810ab2603fffff
191,Борисоглебск,882d69a6e9fffff
192,Новоуральск,8810c2af11fffff
193,Полевской,8810c26b57fffff
194,Лениногорск,88108c255bfffff
195,Кунгур,8810c69901fffff
196,Верхняя Пышма,8810c22f4bfffff
197,Балашов,8810b40a93fffff
198,Когалым,880b006cc1fffff
199,Коркино,8810de434bfffff
200,Черногорск,88252600d3fffff
201,Ялта,882d28a863fffff
202,Тобольск,882165954bfffff
203,Анжеро-Судженск,880b866523fffff
204,Биробиджан,8814887485fffff
205,Арзамас,8810a58967fffff
206,Егорьевск,88118c4ae1fffff
207,Ноябрьск,880b0eca19fffff
208,Алексин,881180adc7fffff
209,Железногорск,880ab480d9fffff
210,Ступино,88118108b7fffff
211,Воркута,88104d1015fffff
212,Усолье-Сибирское,8825711b3bfffff
213,Бор,8810160d15fffff
214,Шадринск,8810d80631fffff
215,Клин,8811aa84cbfffff
216,Видное,881181b429fffff
217,Наро-Фоминск,8811852085fffff
218,Белово,880b9431c1fffff
219,Кропоткин,882d55aa31fffff
220,Выборг,8811048101fffff
221,Россошь,882d6c05bdfffff
222,Троицк,8811aa4aa7fffff
223,Берёзовский,8810c22dadfffff
224,Краснокаменск,8815821637fffff
225,Лысьва,8810c47a03fffff
226,Чапаевск,8810802523fffff
227,Азов,882d4418e7fffff
228,Геленджик,882d72014dfffff
229,Славянск-на-Кубани,882d706b31fffff
230,Тихорецк,882d464705fffff
231,Анапа,882d729229fffff
232,Ейск,882d7185a3fffff
233,Арсеньев,882ec8b525fffff
234,Дальнегорск,882ec1703dfffff
235,Дальнереченск,882eca45e3fffff
236,Лесосибирск,880aa6964bfffff
237,Нерюнгри,8814231a39fffff
238,Советская Гавань,8814da909dfffff
239,Усть-Илимск,880a9ca5d5fffff
240,Усть-Кут,880a9a30e7fffff
241,Холмск,882e8835a5fffff
242,Южно-Курильск,882eac5365fffff
