77 Москва Moskow MOSCOW МОСКВА Moscow_City
78 Санкт-Петербург Saint-Petersburg SAINT-PETERSBURG САНКТ-ПЕТЕРБУРГ Saint_Petersburg
54 Новосибирская_область Novosibirskaya NOVOSIBIRSK НОВОСИБИРСК Novosibirsk
66 Свердловская_область Sverdlovskaya EKATERINBURG ЕКАТЕРИНБУРГ Ekaterinburg
16 Республика_Татарстан Tatarstan KAZAN' КАЗАНЬ Kazan'
52 Нижегородская_область Nizhegorodskaya NIZHNY_NOVGOROD НИЖНИЙ_НОВГОРОД Nizhny_Novgorod
74 Челябинская_область Chelyabinskaya CHELYABINSK ЧЕЛЯБИНСК Chelyabinsk
63 Самарская_область Samarskaya SAMARA САМАРА Samara
55 Омская_область Omskaya OMSK ОМСК Omsk
61 Ростовская_область Rostovskaya ROSTOV-NA-DONU РОСТОВ-НА-ДОНУ Rostov-na-Donu
2 Республика_Башкортостан Bashkortostan UFA УФА Ufa
24 Красноярский_край Krasnoyarskiy KRASNOYARSK КРАСНОЯРСК Krasnojarsk
36 Воронежская_область Voronezhskaya VORONEZH ВОРОНЕЖ Voronezh
59 Пермский_край Permskiy PERM' ПЕРМЬ Perm
34 Волгоградская_область Volgogradskaya VOLGOGRAD ВОЛГОГРАД Volgograd
23 Краснодарский_край Krasnodarskiy KRASNODAR КРАСНОДАР Krasnodar
72 Тюменская_область Tjumenskaya TJUMEN' ТЮМЕНЬ Tjumen'
63 Самарская_область Samarskaya TOL'JATTI ТОЛЬЯТТИ Tol'jatti
18 Удмуртская_Республика Udmurskaya IZHEVSK ИЖЕВСК Izhevsk
22 Алтайский_край Altayskiy BARNAUL БАРНАУЛ Barnaul
73 Ульяновская_область Ulyanovskaya ULYANOVSK УЛЬЯНОВСК Ulyanovsk
38 Иркутская_область Irkutskaya IRKUTSK ИРКУТСК Irkutsk
27 Хабаровский_край Khabarovskiy KHABAROVSK ХАБАРОВСК Khabarovsk
76 Ярославская_область Yaroslavskaya YAROSLAVL' ЯРОСЛАВЛЬ Yaroslavl
25 Приморский_край Primorskiy VLADIVOSTOK ВЛАДИВОСТОК Vladivostokskiy
5 Республика_Дагестан Dagestan MAKHACHKALA МАХАЧКАЛА Makhachkala
70 Томская_область Tomskaya TOMSK ТОМСК Tomsk
56 Оренбургская_область Orenburgskaya ORENBURG ОРЕНБУРГ Orenburg
42 Кемеровская_область Kemerovskaya KEMEROVO КЕМЕРОВО Kemerovo
42 Кемеровская_область Kemerovskaya NOVOKUZNECK НОВОКУЗНЕЦК Novokuzneck
62 Рязанская_область Ryazanskaya RYAZAN' РЯЗАНЬ Ryazan
30 Астраханская_область Astrakhanskaya ASTRAKHAN' АСТРАХАНЬ Astrakhan'
16 Республика_Татарстан Tatarstan NABEREZHNYE_CHELNY Naberezhnye_Chelny
58 Пензенская_область Penzenskaya PENZA ПЕНЗА Penza
48 Липецкая_область Lipeckaya LIPECK ЛИПЕЦК Lipetsk
43 Кировская_область Kirovskaya KIROV КИРОВ Kirov
21 Чувашская_Республика Chuvashskaya CHEBOKSARY ЧЕБОКСАРЫ Cheboksary
71 Тульская_область Tul'skaya TULA ТУЛА Tula
39 Калининградская_область Kaliningradskaya KALININGRAD КАЛИНИНГРАД Kaliningrad
50 Московская_область Moskovskaya BALASHIKHA БАЛАШИХА Balashikha
46 Курская_область Kurskaya KURSK КУРСК Kursk
92 Севастополь Sevastopol' SEVASTOPOL' СЕВАСТОПОЛЬ ???????????????????????????????????
23 Краснодарский_край Krasnodarskiy SOCHI СОЧИ Sochi
26 Ставропольский_край Stavropol'skiy STAVROPOL' СТАВРОПОЛЬ Stavropol'
3 Республика_Бурятия Buryatiya ULAN-UDEH УЛАН-УДЭ Ulan-Udeh
69 Тверская_область Tverskaya TVER' ТВЕРЬ Tver
74 Челябинская_область Chelyabinskaya MAGNITOGORSK МАГНИТОГОРСК Magnitogorskiy
37 Ивановская_область Ivanovskaya IVANOVO ИВАНОВО Ivanovo
32 Брянская_область Bryanskaya BRYANSK БРЯНСК Bryansk
31 Белгородская_область Belgorodskaya BELGOROD БЕЛГОРОД Belgorod
86 Ханты-Мансийский_автономный_округ Khanty-Mansiyskiy SURGUT СУРГУТ Surgut
33 Владимирская_область Vladimirskaya VLADIMIR ВЛАДИМИР Vladimir
29 Архангельская_область Arkhangelskaya ARKHANGEL'SK АРХАНГЕЛЬСК Arkhangel'sk
75 Забайкальский_край Zabaykal'skiy CHITA ЧИТА Chita
40 Калужская_область Kaluzhskaya KALUGA КАЛУГА Kaluga
82 Республика_Крым Crimea SIMFEROPOL' СИМФЕРОПОЛЬ ???????????
67 Смоленская_область Smolenskaya SMOLENSK СМОЛЕНСК Smolensk
34 Волгоградская_область Volgogradskaya VOLZHSKIY ВОЛЖСКИЙ Volzhskiy3
45 Курганская_область Kurganskaya KURGAN КУРГАН Kurgan
57 Орловская_область Orlovskaya OREL ОРЁЛ Orjol
35 Вологодская_область Vologodskaya CHEREPOVEC ЧЕРЕПОВЕЦ Cherepovec
15 Республика_Северная_Осетия Severnaya-Osetiya VLADIKAVKAZ ВЛАДИКАВКАЗ Vladikavkaz
51 Мурманская_область Murmanskaya MURMANSK МУРМАНСК Murmansk
13 Республика_Мордовия Mordoviya SARANSK САРАНСК Saransk
68 Тамбовская_область Tambovskaya TAMBOV ТАМБОВ Tambov
95 Чеченская_Республика Chechenskaya GROZNYJ ГРОЗНЫЙ Groznenskiy2
2 Республика_Башкортостан Bashkortostan STERLITAMAK СТЕРЛИТАМАК Sterlitamak
10 Республика_Карелия Kareliya PETROZAVODSK ПЕТРОЗАВОДСК Petrozavodskiy
44 Костромская_область Kostromskaya KOSTROMA КОСТРОМА Kostroma
86 Ханты-Мансийский_автономный_округ Khanty-Mansiyskiy NIZHNEVARTOVSK НИЖНЕВАРТОВСК Nizhnevartovsk
23 Краснодарский_край Krasnodarskiy NOVOROSSIYSK НОВОРОССИЙСК Novorossijsk
12 Республика_Марий_Эл Mariy_El JOSHKAR-OLA ЙОШКАР-ОЛА Joshkar-Ola
50 Московская_область Moskovskaya KHIMKI ХИМКИ Khimki
61 Ростовская_область Rostovskaya TAGANROG ТАГАНРОГ Taganrog
27 Хабаровский_край Khabarovskiy KOMSOMOL'SK-NA-AMURE КОМСОМОЛЬСК-НА-АМУРЕ Komsomol'sk-na-Amure
11 Республика_Коми Komi SYKTYVKAR СЫКТЫВКАР Syktyvkar
7 Кабардино-Балкарская_Республика Kabardino-Balkarskaya NAL'CHIK НАЛЬЧИК Nal'chik
61 Ростовская_область Rostovskaya SHAKHTY ШАХТЫ Shakhty
16 Республика_Татарстан Tatarstan NIZHNEKAMSK НИЖНЕКАМСК Nizhnekamskiy
38 Иркутская_область Irkutskaya BRATSK БРАТСК Bratsk
50 Московская_область Moskovskaya DZERZHINSK ДЗЕРЖИНСК Dzerzhinsk
56 Оренбургская_область Orenburgskaya ORSK ОРСК Orsk
38 Иркутская_область Irkutskaya ANGARSK АНГАРСК Angarskiy
28 Амурская_область Amurskaya BLAGOVESHHENSK БЛАГОВЕЩЕНСК Blagoveshhensk
60 Псковская_область Pskovskaya PSKOV ПСКОВ Pskov
22 Алтайский_край Altayskiy BIJSK БИЙСК Bijsk
42 Кемеровская_область Kemerovskaya PROKOP'EVSK ПРОКОПЬЕВСК Prokop'evsk
64 Саратовская_область Saratovskaya EHNGEL'S ЭНГЕЛЬС EHngel'sskiy
76 Ярославская_область Yaroslavskaya RYBINSK РЫБИНСК Rybinskiy2
64 Саратовская_область Saratovskaya BALAKOVO БАЛАКОВО Balakovskiy
29 Архангельская_область Arkhangel'skaya SEVERODVINSK СЕВЕРОДВИНСК Severodvinsk
23 Краснодарский_край Krasnodarskiy ARMAVIR АРМАВИР Armavir
50 Московская_область Moskovskaya PODOL'SK ПОДОЛЬСК Podol'sk
50 Московская_область Moskovskaya KOROLEV КОРОЛЁВ Koroljov
65 Сахалинская_область Sakhalinskaya YUZHNO-SAKHALINSK ЮЖНО-САХАЛИНСК Sakhalin
41 Камчатский_край Kamchatskiy PETROPAVLOVSK-KAMCHATSKIY ПЕТРОПАВЛОВСК-КАМЧАТСКИЙ Petropavlovsk-Kamchatskiy
ODONSK ВОЛГОДОНСК Volgodonsk63 Самарская_область Samarskaya SYZRAN' СЫЗРАНЬ Syzran'
24 Красноярский_край Krasnoyarskiy NORIL'SK НОРИЛЬСК ????????????????????????????
74 Челябинская_область Chelyabinskaya ZLATOUST ЗЛАТОУСТ Zlatoustovskiy
42 Кемеровская_область Kemerovskaya KEMEROVO КЕМЕРОВО Kemerovo
50 Московская_область Moskovskaya MYTISHHI МЫТИЩИ Mytishhinskiy
50 Московская_область Moskovskaya LJUBERCY ЛЮБЕРЦЫ
61 Ростовская_область Rostovskaya VOLGODONSK ВОЛГОДОНСК Volgodonsk
61 Ростовская_область Rostovskaya NOVOCHERKASSK НОВОЧЕРКАССК Novocherkassk
19 Республика_Хакасия Khakassia ABAKAN АБАКАН Abakan
25 Приморский_край Primorskiy NAKHODKA НАХОДКА Nakhodkinskiy
25 Приморский_край Primorskiy USSURIYSK УССУРИЙСК Ussurijskiy
59 Пермский_край Permskiy BEREZNEKI БЕРЕЗНЕКИ Bereznikovskiy
2 Республика_Башкортостан Bashkortostan SALAVAT САЛАВАТ Salavat
50 Московская_область Moskovskaya ELEKTROSTAL' ЭЛЕКТРОСТАЛЬ Ehlektrostal'
74 Челябинская_область Chelyabinskaya MIASS МИАСС Miasskiy
22 Алтайский_край Altayskiy RUBCOVSK РУБЦОВСК Rubcovsk
16 Республика_Татарстан Tatarstan AL'METYEVSK АЛЬМЕТЬЕВСК Al'met'evskiy
50 Московская_область Moskovskaya KOLOMNA КОЛОМНА Kolomna
1 Республика_Адыгея Adygea MAYKOP МАЙКОП Majkop
26 Ставропольский_край Stavropol'skiy PYATIGORSK ПЯТИГОРСК Pjatigorsk
50 Московская_область Moskovskaya ODINCOVO ОДИНЦОВО Odincovskiy
74 Челябинская_область Chelyabinskaya KOPEYSK КОПЕЙСК Kopejskiy
5 Республика_Дагестан Dagestan KHASAVJURT ХАСАВЮРТ Khasavjurt
6 Республика_Ингушетия Ingushetiya NAZRAN' НАЗРАНЬ ????????????????
26 Ставропольский_край Stavropol'skiy KISLOVODSK КИСЛОВОДСК Kislovodsk
50 Московская_область Moskovskaya DOMODEDOVO ДОМОДЕДОВО Domodedovo
2 Республика_Башкортостан Bashkortostan NEFTEKAMSK НЕФТЕКАМСК Neftekamsk
71 Тульская_область Tul'skaya NOVOMOSKOVSK НОВОМОСКОВСК Novomoskovsk
82 Республика_Крым Crimea KERCH КЕРЧЬ ?????????????????????????
89 Ямало-Ненецкий_автономный_округ Yamalo-Neneckiy NOVYJ_URENGOY НОВЫЙ_УРЕНГОЙ Novyj_Urengoj
66 Свердловская_область Sverdlovskaya PERVOURAL'SK ПЕРВОУРАЛЬСК Pervoural'sk
9 Карачаево-Черкесская_Республика Karachaevo-Cherkesskaya CHERKESSK ЧЕРКЕССК Cherkessk
61 Ростовская_область Rostovskaya BATAYSK БАТАЙСК Batajsk
50 Московская_область Moskovskaya SHHELKOVO ЩЁЛКОВО Shhjolkovskiy
50 Московская_область Moskovskaya SERPUKHOV СЕРПУХОВ Serpukhov
21 Чувашская_Республика Chuvashskaya NOVOCHEBOKSARSK НОВОЧЕБОКСАРСК Novocheboksarsk
86 Ханты-Мансийский_автономный_округ Khanty-Mansiyskiy NEFTEJUGANSK НЕФТЕЮГАНСК Neftejugansk
73 Ульяновская_область Ulyanovskaya DMITROVGRAD ДМИТРОВГРАД ????????????????????
50 Московская_область Moskovskaya OREKHOVO-ZUEVO ОРЕХОВО-ЗУЕВО Orekhovo-Zuevo
5 Республика_Дагестан Dagestan DERBENT ДЕРБЕНТ Derbent
34 Волгоградская_область Volgogradskaya KAMYSHIN КАМЫШИН Kamyshin
26 Ставропольский_край Stavropol'skiy NEVINNOMYSSK НЕВИННОМЫССК Nevinnomyssk
50 Московская_область Moskovskaya KRASNOGORSK КРАСНОГОРСК Krasnogorskiy3
33 Владимирская_область Vladimirskaya MUROM МУРОМ Murom
70 Томская_область Tomskaya SEVERSK СЕВЕРСК Seversk
50 Московская_область Moskovskaya PUSHKINO ПУШКИНО Pushkinskiy
50 Московская_область Moskovskaya ZHUKOVSKIY ЖУКОВСКИЙ Zhukovskiy3
25 Приморский_край Primorskiy ARTYOM АРТЁМ Artemovskiy
50 Московская_область Moskovskaya NOGINSK НОГИНСК Noginskiy
48 Липецкая_область Lipeckaya ELEC ЕЛЕЦ Elec
50 Московская_область Moskovskaya SERGIEV_POSAD СЕРГИЕВ_ПОСАД Sergievo-Posadskiy
63 Самарская_область Samarskaya NOVOKUYBYSHEVSK НОВОКУЙБЫШЕВСК Novokujbyshevsk
